ID	DATA_TYPE	VALUE
10110010	TOTAL	1320
10120010	TOTAL	1502
10590025	TOTAL	1418
11310005	TOTAL	1479
11790040	TOTAL	1477
11790050	TOTAL	1371
11790060	TOTAL	1403
11960050	TOTAL	1522
12910050	TOTAL	1531
14180050	TOTAL	1135
30290020	TOTAL	2103
30290070	TOTAL	1816
30300020	TOTAL	1418
30440020	TOTAL	1306
30745050	TOTAL	1417
30890030	TOTAL	1362
30990040	TOTAL	1695
31130040	TOTAL	1561
31345050	TOTAL	1404
31360050	TOTAL	1489
31370040	TOTAL	1467
31450050	TOTAL	1573
31550050	TOTAL	1636
31700050	TOTAL	1298
31760050	TOTAL	1699
31860050	TOTAL	1361
32080050	TOTAL	1479
32620050	TOTAL	1615
32740050	TOTAL	1341
32860050	TOTAL	1379
32900050	TOTAL	1689
33170050	TOTAL	1545
33550050	TOTAL	1486
33600050	TOTAL	1362
33700050	TOTAL	1723
33710050	TOTAL	1757
33710060	TOTAL	1710
33910050	TOTAL	1390
33930050	TOTAL	1610
33940050	TOTAL	1588
33960040	TOTAL	1688
33960050	TOTAL	1601
34300030	TOTAL	1678
34300050	TOTAL	1631
34310050	TOTAL	1638
34370050	TOTAL	1464
34380050	TOTAL	1429
34390050	TOTAL	1789
34405050	TOTAL	1608
34600050	TOTAL	1560
34610050	TOTAL	1419
35150050	TOTAL	1386
35160050	TOTAL	1861
35410030	TOTAL	1491
35430050	TOTAL	1415
35755050	TOTAL	1517
35830050	TOTAL	1417
50475050	TOTAL	1454
50600020	TOTAL	1317
50610030	TOTAL	1296
50610040	TOTAL	1288
50620010	TOTAL	1408
50840030	TOTAL	1502
51060005	TOTAL	1434
51520050	TOTAL	1447
52610040	TOTAL	1547
52610050	TOTAL	1575
52610060	TOTAL	1615
52610070	TOTAL	1519
53010030	TOTAL	1398
53360040	TOTAL	1710
53690050	TOTAL	1506
53920050	TOTAL	1312
54050055	TOTAL	1352
54320050	TOTAL	1504
54450050	TOTAL	1408
55805053	TOTAL	1180
70150010	TOTAL	1444
70390020	TOTAL	1409
70390030	TOTAL	1462
70390050	TOTAL	1467
70680029	TOTAL	1249
70680030	TOTAL	1035
70680040	TOTAL	1006
70680245	TOTAL	1030
70680305	TOTAL	1103
70700030	TOTAL	1177
70700040	TOTAL	1168
70800040	TOTAL	1533
70940030	TOTAL	1485
71255050	TOTAL	1658
71770050	TOTAL	1348
71880050	TOTAL	1489
71890050	TOTAL	1562
71900050	TOTAL	1767
72670005	TOTAL	1335
74060050	TOTAL	1274
74110010	TOTAL	1371
75035050	TOTAL	1395
75820010	TOTAL	1363
90720030	TOTAL	1469
92820050	TOTAL	1429
93130050	TOTAL	1453
93780050	TOTAL	1479
95790050	TOTAL	1274
130250020	TOTAL	1334
130410020	TOTAL	1375
130660050	TOTAL	1625
130760050	TOTAL	1506
131210035	TOTAL	1156
131210150	TOTAL	1262
131390020	TOTAL	1294
131390050	TOTAL	1146
131390070	TOTAL	1195
131390080	TOTAL	1103
131750050	TOTAL	1719
132330050	TOTAL	1132
132730050	TOTAL	1749
133190050	TOTAL	1861
133310050	TOTAL	1628
133570010	TOTAL	1241
133570020	TOTAL	1012
133570030	TOTAL	1063
133570040	TOTAL	1239
133570045	TOTAL	1070
133570050	TOTAL	992
133570055	TOTAL	1576
133570056	TOTAL	1330
133570057	TOTAL	1351
133570070	TOTAL	1076
133570080	TOTAL	1053
133570087	TOTAL	1226
133570304	TOTAL	1332
133570305	TOTAL	941
133750050	TOTAL	1518
133880050	TOTAL	1121
134900030	TOTAL	1583
135370050	TOTAL	1557
135630050	TOTAL	1569
135680050	TOTAL	1433
150860030	TOTAL	1334
150870020	TOTAL	1536
151100040	TOTAL	1416
151715050	TOTAL	1453
151730050	TOTAL	1381
151775010	TOTAL	1453
152440050	TOTAL	1504
153280050	TOTAL	1437
154020050	TOTAL	1247
154140050	TOTAL	1449
154940050	TOTAL	1455
155500010	TOTAL	1520
155620050	TOTAL	1511
155860050	TOTAL	1381
170220020	TOTAL	1373
172060050	TOTAL	1328
172210005	TOTAL	1190
172295030	TOTAL	1415
172295050	TOTAL	1638
172390050	TOTAL	1134
172390060	TOTAL	1193
172390070	TOTAL	1136
172390075	TOTAL	1776
172390080	TOTAL	1247
172390082	TOTAL	1254
172410050	TOTAL	1390
173610050	TOTAL	1317
174730050	TOTAL	1417
175240055	TOTAL	1220
175580050	TOTAL	1402
175670050	TOTAL	1287
191050040	TOTAL	1598
192300050	TOTAL	1652
193660050	TOTAL	1687
193660060	TOTAL	1654
194890050	TOTAL	1650
211245050	TOTAL	1578
211430050	TOTAL	1342
211950050	TOTAL	1497
211950055	TOTAL	1420
211950060	TOTAL	1371
212280030	TOTAL	1722
212580040	TOTAL	1528
214255050	TOTAL	1848
215210030	TOTAL	1101
215210050	TOTAL	1158
215210051	TOTAL	1274
215510030	TOTAL	1610
215715020	TOTAL	1863
215715025	TOTAL	1853
230750030	TOTAL	1332
231140040	TOTAL	1450
231170050	TOTAL	1695
231290050	TOTAL	1509
231290053	TOTAL	1746
232150050	TOTAL	1592
233120050	TOTAL	1629
233140050	TOTAL	1459
233150010	TOTAL	2090
233150040	TOTAL	1392
233150060	TOTAL	1257
233150065	TOTAL	1173
233150070	TOTAL	1860
233290005	TOTAL	1572
233530050	TOTAL	1237
233620040	TOTAL	1573
233845040	TOTAL	1523
234090050	TOTAL	1253
234130050	TOTAL	1467
234660050	TOTAL	1477
234830030	TOTAL	1396
234860050	TOTAL	1683
234910050	TOTAL	1445
234920050	TOTAL	1364
234970040	TOTAL	1515
235850020	TOTAL	1496
235850040	TOTAL	1490
235850050	TOTAL	1402
250100010	TOTAL	962
251650010	TOTAL	1648
251650050	TOTAL	1598
251650055	TOTAL	1558
251650060	TOTAL	1516
251650070	TOTAL	1570
251650080	TOTAL	1697
252105050	TOTAL	1436
252120050	TOTAL	1532
252230020	TOTAL	1718
252400010	TOTAL	1339
252430050	TOTAL	1372
252770050	TOTAL	1196
252930050	TOTAL	1537
253040050	TOTAL	1492
253160050	TOTAL	1487
253160053	TOTAL	1590
253260004	TOTAL	1888
253260010	TOTAL	2162
253260020	TOTAL	1925
253260025	TOTAL	2009
253260028	TOTAL	2034
253270050	TOTAL	1462
253510050	TOTAL	1279
253810030	TOTAL	1529
254365050	TOTAL	1541
254580050	TOTAL	1738
254760050	TOTAL	1503
255310050	TOTAL	1546
255420050	TOTAL	1560
270450020	TOTAL	1424
270630020	TOTAL	1498
270785010	TOTAL	1744
271110040	TOTAL	1468
271990050	TOTAL	1599
271990070	TOTAL	1630
272380020	TOTAL	1479
272460050	TOTAL	1639
272870050	TOTAL	1735
273340010	TOTAL	1654
273365020	TOTAL	2140
273365050	TOTAL	1676
273370050	TOTAL	1538
273370060	TOTAL	1577
273450010	TOTAL	1575
273460050	TOTAL	1699
273950050	TOTAL	1561
273950053	TOTAL	1617
274080050	TOTAL	1645
274330050	TOTAL	1696
274560050	TOTAL	1534
275660030	TOTAL	1655
275660050	TOTAL	1730
290185030	TOTAL	1470
290530020	TOTAL	1471
290530025	TOTAL	1451
290770030	TOTAL	1420
292360020	TOTAL	1529
292360025	TOTAL	1491
292480020	TOTAL	1461
292520050	TOTAL	1102
292940040	TOTAL	1429
293790045	TOTAL	1922
293790055	TOTAL	1469
294105050	TOTAL	1499
294190010	TOTAL	1454
294210030	TOTAL	1520
294220050	TOTAL	1566
294950050	TOTAL	1500
295190030	TOTAL	1517
295190040	TOTAL	1527
295190050	TOTAL	1446
310900030	TOTAL	1420
312100050	TOTAL	1469
312510050	TOTAL	1533
313970050	TOTAL	1183
313980010	TOTAL	1292
313990050	TOTAL	1432
313995050	TOTAL	1312
314010002	TOTAL	1070
314010003	TOTAL	1061
314010020	TOTAL	1210
314010025	TOTAL	700
314010035	TOTAL	1216
314010304	TOTAL	1118
314010305	TOTAL	1017
314010306	TOTAL	918
314010307	TOTAL	983
314230050	TOTAL	1518
315570050	TOTAL	1579
315570055	TOTAL	1589
315650040	TOTAL	1507
334070050	TOTAL	1265
334075050	TOTAL	1435
334150040	TOTAL	1446
334630050	TOTAL	1269
334640040	TOTAL	1404
335910050	TOTAL	1521
350350050	TOTAL	1738
350555005	TOTAL	1691
351610050	TOTAL	1426
352170030	TOTAL	1674
353000050	TOTAL	1359
353320030	TOTAL	1836
353670050	TOTAL	1381
354810070	TOTAL	1397
354815020	TOTAL	1646
354820050	TOTAL	1616
355550050	TOTAL	1688
372165030	TOTAL	1509
372240030	TOTAL	1453
372465050	TOTAL	1514
372615050	TOTAL	1496
373590050	TOTAL	1497
374960050	TOTAL	1582
375110010	TOTAL	1381
