CO_CODE	DIST_CODE	SCH_CODE	TOTAL	MATHEMATICS	CRITICAL_READING	WRITING	SAT_1550	N_STUDENTS_SCORED	ID
1	110	10	1320	461	429	430	23.5	88	10110010
1	120	10	1502	515	506	481	41.7	660	10120010
1	590	25	1418	486	468	464	31.1	255	10590025
1	1310	5	1479	504	490	485	37.8	450	11310005
1	1790	40	1477	508	486	483	35.7	235	11790040
1	1790	50	1371	470	454	447	25.5	334	11790050
1	1790	60	1403	471	464	468	34.7	157	11790060
1	1960	50	1522	519	506	497	41.2	673	11960050
1	2910	50	1531	529	504	498	47.4	225	12910050
1	4180	50	1135	395	363	377	4.3	926	14180050
3	290	20	2103	722	682	699	98	148	30290020
3	290	70	1816	627	592	597	93.5	583	30290070
3	300	20	1418	485	468	465	30.2	288	30300020
3	440	20	1306	443	430	433	14.9	516	30440020
3	745	50	1417	486	467	464	29.6	744	30745050
3	890	30	1362	464	447	451	21.4	630	30890030
3	990	40	1695	568	555	572	63.6	398	30990040
3	1130	40	1561	538	511	512	54.1	890	31130040
3	1345	50	1404	478	447	479	34.5	415	31345050
3	1360	50	1489	504	493	492	36.8	517	31360050
3	1370	40	1467	495	482	490	39.4	421	31370040
3	1450	50	1573	551	507	515	50.5	774	31450050
3	1550	50	1636	572	522	542	58.6	437	31550050
3	1700	50	1298	449	425	424	13.2	370	31700050
3	1760	50	1699	589	554	556	72.3	957	31760050
3	1860	50	1361	473	449	439	25.2	681	31860050
3	2080	50	1479	532	477	470	46.7	690	32080050
3	2620	50	1615	561	526	528	58.5	511	32620050
3	2740	50	1341	467	443	431	21.3	272	32740050
3	2860	50	1379	474	447	458	17.8	767	32860050
3	2900	50	1689	589	542	558	71.7	911	32900050
3	3170	50	1545	514	513	518	49.4	117	33170050
3	3550	50	1486	508	489	489	43.8	857	33550050
3	3600	50	1362	451	461	450	20.5	567	33600050
3	3700	50	1723	590	561	572	77	252	33700050
3	3710	50	1757	603	565	589	76	637	33710050
3	3710	60	1710	592	546	572	68.8	224	33710060
3	3910	50	1390	490	451	449	30.1	153	33910050
3	3930	50	1610	563	515	532	56.8	992	33930050
3	3940	50	1588	545	518	525	50.6	579	33940050
3	3960	40	1688	578	549	561	68.7	881	33960040
3	3960	50	1601	559	515	527	57.7	489	33960050
3	4300	30	1678	560	553	565	74.2	335	34300030
3	4300	50	1631	559	529	543	58.3	44	34300050
3	4310	50	1638	556	537	545	60.7	685	34310050
3	4370	50	1464	510	469	485	38.5	634	34370050
3	4380	50	1429	495	455	479	28.8	61	34380050
3	4390	50	1789	612	584	593	80.5	493	34390050
3	4405	50	1608	560	522	526	54.7	624	34405050
3	4600	50	1560	537	513	510	51.9	106	34600050
3	4610	50	1419	486	465	468	30.6	916	34610050
3	5150	50	1386	474	459	453	23.1	39	35150050
3	5160	50	1861	652	592	617	85.1	152	35160050
3	5410	30	1491	519	488	484	37.2	409	35410030
3	5430	50	1415	495	450	470	36	677	35430050
3	5755	50	1517	519	499	499	43	180	35755050
3	5830	50	1417	490	454	473	33.3	576	35830050
5	475	50	1454	502	479	473	33.9	19	50475050
5	600	20	1317	461	426	430	22.7	663	50600020
5	610	30	1296	445	433	418	13.3	527	50610030
5	610	40	1288	441	430	417	16.7	422	50610040
5	620	10	1408	486	465	457	28.1	132	50620010
5	840	30	1502	515	490	497	44.4	555	50840030
5	1060	5	1434	499	469	466	32.5	650	51060005
